Study_accession	Field	DOID	Name	Match	Match Type
SDY1264	brief_title	9682	yellow fever	YELLOW FEVER	PREF
SDY1264	condition_studied	9682	yellow fever	YELLOW FEVER	PREF
SDY1264	description	9682	yellow fever	YELLOW FEVER	PREF
SDY404	brief_title	8469	influenza	INFLUENZA	PREF
SDY404	condition_studied	8469	influenza	INFLUENZA	PREF
SDY404	endpoints	8469	influenza	FLU	SYN
SDY404	endpoints	8469	influenza	FLU	SYN
SDY404	description	8469	influenza	INFLUENZA	PREF
SDY475	description	1969	cerebral palsy	CEREBRAL PALSY	PREF
SDY1205	description	0111144	preterm premature rupture of the membranes	PPROM	SYN
SDY290	endpoints	10763	hypertension	HYPERTENSION	PREF
SDY290	endpoints	576	proteinuria	PROTEINURIA	PREF
SDY290	endpoints	4	disease	DISEASE	PREF
SDY290	endpoints	2355	anemia	ANEMIA	PREF
SDY290	endpoints	5844	myocardial infarction	MYOCARDIAL INFARCTION	PREF
SDY290	endpoints	6713	cerebrovascular disease	STROKE	SYN
SDY290	hypothesis	10763	hypertension	HYPERTENSION	PREF
SDY290	hypothesis	576	proteinuria	PROTEINURIA	PREF
SDY290	hypothesis	576	proteinuria	PROTEINURIA	PREF
SDY290	hypothesis	1074	kidney failure	RENAL FAILURE	SYN
SDY290	hypothesis	2355	anemia	ANEMIA	PREF
SDY290	hypothesis	783	end stage renal failure	END STAGE RENAL DISEASE	SYN
SDY290	hypothesis	4	disease	DISEASE	PREF
SDY290	hypothesis	5844	myocardial infarction	MYOCARDIAL INFARCTION	PREF
SDY290	hypothesis	6713	cerebrovascular disease	STROKE	SYN
SDY290	description	10763	hypertension	HYPERTENSION	PREF
SDY290	description	576	proteinuria	PROTEINURIA	PREF
SDY290	description	1074	kidney failure	RENAL FAILURE	SYN
SDY290	description	2355	anemia	ANEMIA	PREF
SDY290	description	5844	myocardial infarction	MYOCARDIAL INFARCTION	PREF
SDY290	description	6000	congestive heart failure	CONGESTIVE HEART FAILURE	PREF
SDY290	description	6000	congestive heart failure	CHF	SYN
SDY601	condition_studied	3686	obsolete Helicobacter pylori infectious disease	HELICOBACTER PYLORI INFECTION	SYN
SDY406	brief_title	8469	influenza	INFLUENZA	PREF
SDY406	condition_studied	8469	influenza	INFLUENZA	PREF
SDY406	hypothesis	8469	influenza	INFLUENZA	PREF
SDY406	description	8469	influenza	INFLUENZA	PREF
SDY1099	brief_title	4	disease	DISEASE	PREF
SDY1099	condition_studied	9119	acute myeloid leukemia	ACUTE MYELOID LEUKEMIA	PREF
SDY1099	condition_studied	8692	myeloid leukemia	MYELOID LEUKEMIA	PREF
SDY1099	condition_studied	1240	leukemia	LEUKEMIA	PREF
SDY1099	description	9119	acute myeloid leukemia	ACUTE MYELOID LEUKEMIA	PREF
SDY1099	description	8692	myeloid leukemia	MYELOID LEUKEMIA	PREF
SDY1099	description	1240	leukemia	LEUKEMIA	PREF
SDY1099	description	2226	myeloproliferative neoplasm	MYELOPROLIFERATIVE NEOPLASM	PREF
SDY1099	description	14566	disease of cellular proliferation	NEOPLASM	SYN
SDY289	endpoints	783	end stage renal failure	END STAGE RENAL DISEASE	SYN
SDY289	endpoints	4	disease	DISEASE	PREF
SDY289	hypothesis	783	end stage renal failure	END STAGE RENAL DISEASE	SYN
SDY289	hypothesis	4	disease	DISEASE	PREF
SDY289	description	1074	kidney failure	RENAL FAILURE	SYN
SDY471	condition_studied	2377	multiple sclerosis	MULTIPLE SCLEROSIS	PREF
SDY471	endpoints	4	disease	DISEASE	PREF
SDY471	description	4	disease	DISEASE	PREF
SDY471	description	4	disease	DISEASE	PREF
SDY471	description	4	disease	DISEASE	PREF
SDY400	brief_title	8469	influenza	INFLUENZA	PREF
SDY400	condition_studied	8469	influenza	INFLUENZA	PREF
SDY400	endpoints	8469	influenza	FLU	SYN
SDY400	endpoints	8469	influenza	FLU	SYN
SDY400	description	8469	influenza	INFLUENZA	PREF
SDY625	condition_studied	9074	systemic lupus erythematosus	SYSTEMIC LUPUS ERYTHEMATOSUS	PREF
SDY625	condition_studied	8857	lupus erythematosus	LUPUS ERYTHEMATOSUS	PREF
SDY625	condition_studied	8857	lupus erythematosus	LUPUS	SYN
SDY625	endpoints	8857	lupus erythematosus	LUPUS	SYN
SDY625	endpoints	8857	lupus erythematosus	LUPUS ERYTHEMATOSUS	PREF
SDY625	endpoints	8857	lupus erythematosus	LUPUS	SYN
SDY625	endpoints	8857	lupus erythematosus	LUPUS	SYN
SDY625	endpoints	8857	lupus erythematosus	LUPUS ERYTHEMATOSUS	PREF
SDY625	endpoints	8857	lupus erythematosus	LUPUS	SYN
SDY625	endpoints	4	disease	DISEASE	PREF
SDY625	endpoints	4	disease	DISEASE	PREF
SDY625	endpoints	9074	systemic lupus erythematosus	SYSTEMIC LUPUS ERYTHEMATOSUS	PREF
SDY625	endpoints	9074	systemic lupus erythematosus	SYSTEMIC LUPUS ERYTHEMATOSUS	PREF
SDY625	hypothesis	9074	systemic lupus erythematosus	SYSTEMIC LUPUS ERYTHEMATOSUS	PREF
SDY625	hypothesis	9074	systemic lupus erythematosus	SYSTEMIC LUPUS ERYTHEMATOSUS	PREF
SDY625	hypothesis	8857	lupus erythematosus	LUPUS ERYTHEMATOSUS	PREF
SDY625	hypothesis	8857	lupus erythematosus	LUPUS	SYN
SDY625	hypothesis	8857	lupus erythematosus	LUPUS ERYTHEMATOSUS	PREF
SDY625	hypothesis	8857	lupus erythematosus	LUPUS	SYN
SDY625	hypothesis	4	disease	DISEASE	PREF
SDY625	description	8567	Hodgkin's lymphoma	HODGKIN'S LYMPHOMA	PREF
SDY625	description	0060058	lymphoma	LYMPHOMA	PREF
SDY625	description	0060058	lymphoma	LYMPHOMA	PREF
SDY789	condition_studied	8469	influenza	INFLUENZA	PREF
SDY789	endpoints	8469	influenza	INFLUENZA	PREF
SDY789	endpoints	8469	influenza	INFLUENZA	PREF
SDY789	hypothesis	8469	influenza	INFLUENZA	PREF
SDY789	hypothesis	8469	influenza	INFLUENZA	PREF
SDY789	description	8469	influenza	INFLUENZA	PREF
SDY789	description	8469	influenza	INFLUENZA	PREF
SDY680	condition_studied	8469	influenza	INFLUENZA	PREF
SDY680	hypothesis	8469	influenza	INFLUENZA	PREF
SDY680	description	8469	influenza	INFLUENZA	PREF
SDY673	hypothesis	0050117	disease by infectious agent	INFECTIOUS DISEASE	SYN
SDY673	hypothesis	4	disease	DISEASE	PREF
SDY1371	brief_title	8469	influenza	INFLUENZA	PREF
SDY1371	condition_studied	8469	influenza	INFLUENZA	PREF
SDY1371	hypothesis	8469	influenza	INFLUENZA	PREF
SDY1371	description	8469	influenza	INFLUENZA	PREF
SDY1371	description	8469	influenza	INFLUENZA	PREF
SDY1371	description	934	viral infectious disease	VIRUS INFECTION	SYN
SDY131	endpoints	10763	hypertension	HYPERTENSION	PREF
SDY839	brief_title	8622	measles	MEASLES	PREF
SDY839	condition_studied	8622	measles	MEASLES	PREF
SDY1387	brief_title	2841	asthma	ASTHMA	PREF
SDY1387	condition_studied	2841	asthma	ASTHMA	PREF
SDY1387	hypothesis	2841	asthma	ASTHMA	PREF
